Result;Returnable fields
analysis;analysis_accession, study_accession, secondary_study_accession, sample_accession, secondary_sample_accession, analysis_title, analysis_type, center_name, first_public, last_updated, study_title, tax_id, scientific_name, analysis_alias, study_alias, submitted_bytes, submitted_md5, submitted_ftp, submitted_aspera, submitted_galaxy, sample_alias, broker_name
analysis_study;study_accession, secondary_study_accession, study_title, study_alias
assembly;accession, study_accession, sample_accession, assembly_name, assembly_title, study_name, study_title, study_description, tax_id, scientific_name, strain, base_count, assembly_level, genome_representation
coding_release;accession, base_count, bio_material, cell_line, cell_type, collected_by, collection_date, country, cultivar, culture_collection, dataclass, description, dev_stage, ecotype, environmental_sample, first_public, germline, host, identified_by, isolate, isolation_source, keywords, lab_host, last_updated, location, mating_type, mol_type, organelle, serotype, serovar, sex, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tax_division, tissue_lib, tissue_type, variety, allele, artificial_location, codon_start, ec_number, exception, experiment, function, topology, gene, gene_synonym, inference, locus_tag, map, note, old_locus_tag, operon, partial, product, protein_id, pseudo, pseudo_gene, ribosomal_slippage, standard_name, trans_splicing, transl_except, transl_table, tax_id, scientific_name, parent_accession, altitude, haplotype, sequence_md5
coding_update;accession, base_count, bio_material, cell_line, cell_type, collected_by, collection_date, country, cultivar, culture_collection, dataclass, description, dev_stage, ecotype, environmental_sample, first_public, germline, host, identified_by, isolate, isolation_source, keywords, lab_host, last_updated, location, mating_type, mol_type, organelle, serotype, serovar, sex, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tax_division, tissue_lib, tissue_type, variety, allele, artificial_location, codon_start, ec_number, exception, experiment, function, topology, gene, gene_synonym, inference, locus_tag, map, note, old_locus_tag, operon, partial, product, protein_id, pseudo, pseudo_gene, ribosomal_slippage, standard_name, trans_splicing, transl_except, transl_table, tax_id, scientific_name, parent_accession, altitude, haplotype, sequence_md5
environmental;accession, secondary_sample_accession, bio_material, cell_line, collected_by, collection_date, country, marine_region, cultivar, description, dev_stage, first_public, identified_by, isolation_source, location, strain, tissue_type, tax_id, scientific_name, sample_alias, checklist, center_name, depth, elevation, altitude, environment_biome, environment_feature, environment_material, temperature, salinity, sampling_campaign, sampling_site, sampling_platform, protocol_label, project_name, host, host_tax_id, host_status, host_sex, submitted_host_sex, host_body_site, host_gravidity, host_phenotype, host_genotype, host_growth_conditions, environmental_package, investigation_type, experimental_factor, sample_collection, sequencing_method, target_gene, ph, broker_name, event_label
noncoding_release;accession, base_count, collected_by, dataclass, first_public, last_updated, location, tax_division, tax_id, scientific_name, rna_class, gene, gene_synonym, product, anticodon, function, locus_tag, experiment, inference, note, bio_material, cell_line, cell_type, country, cultivar, culture_collection, description, dev_stage, ecotype, environmental_sample, germline, host, identified_by, isolate, isolation_source, keywords, lab_host, mating_type, mol_type, organelle, serotype, serovar, sex, collection_date, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tissue_lib, tissue_type, topology, variety, sequence_md5, study_accession
noncoding_update;accession, base_count, collected_by, dataclass, first_public, last_updated, location, tax_division, tax_id, scientific_name, rna_class, gene, gene_synonym, product, anticodon, function, locus_tag, experiment, inference, note, bio_material, cell_line, cell_type, country, cultivar, culture_collection, description, dev_stage, ecotype, environmental_sample, germline, host, identified_by, isolate, isolation_source, keywords, lab_host, mating_type, mol_type, organelle, serotype, serovar, sex, collection_date, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tissue_lib, tissue_type, topology, variety, sequence_md5, study_accession
read_experiment;study_accession, secondary_study_accession, experiment_accession, instrument_platform, instrument_model, library_name, library_layout, library_strategy, library_source, library_selection, experiment_title, study_title, study_alias, experiment_alias
read_run;study_accession, secondary_study_accession, sample_accession, secondary_sample_accession, experiment_accession, run_accession, submission_accession, tax_id, scientific_name, instrument_platform, instrument_model, library_name, nominal_length, library_layout, library_strategy, library_source, library_selection, read_count, base_count, center_name, first_public, last_updated, experiment_title, study_title, study_alias, experiment_alias, run_alias, fastq_bytes, fastq_md5, fastq_ftp, fastq_aspera, fastq_galaxy, submitted_bytes, submitted_md5, submitted_ftp, submitted_aspera, submitted_galaxy, submitted_format, sra_bytes, sra_md5, sra_ftp, sra_aspera, sra_galaxy, cram_index_ftp, cram_index_aspera, cram_index_galaxy, sample_alias, broker_name
read_study;study_accession, secondary_study_accession, study_title, study_alias
sample;accession, secondary_sample_accession, bio_material, cell_line, cell_type, collected_by, collection_date, country, cultivar, culture_collection, description, dev_stage, ecotype, environmental_sample, first_public, germline, identified_by, isolate, isolation_source, location, mating_type, serotype, serovar, sex, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tissue_lib, tissue_type, variety, tax_id, scientific_name, sample_alias, checklist, center_name, depth, elevation, altitude, environment_biome, environment_feature, environment_material, temperature, salinity, sampling_campaign, sampling_site, sampling_platform, protocol_label, project_name, host, host_tax_id, host_status, host_sex, submitted_host_sex, host_body_site, host_gravidity, host_phenotype, host_genotype, host_growth_conditions, environmental_package, investigation_type, experimental_factor, sample_collection, sequencing_method, target_gene, ph, broker_name
sequence_release;accession, base_count, bio_material, cell_line, cell_type, collected_by, collection_date, country, cultivar, culture_collection, dataclass, description, dev_stage, ecotype, environmental_sample, first_public, germline, host, identified_by, isolate, isolation_source, keywords, lab_host, last_updated, location, mating_type, mol_type, organelle, serotype, serovar, sex, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tax_division, tissue_lib, tissue_type, topology, variety, tax_id, scientific_name, altitude, haplotype, plasmid, study_accession, sequence_md5
sequence_update;accession, base_count, bio_material, cell_line, cell_type, collected_by, collection_date, country, cultivar, culture_collection, dataclass, description, dev_stage, ecotype, environmental_sample, first_public, germline, host, identified_by, isolate, isolation_source, keywords, lab_host, last_updated, location, mating_type, mol_type, organelle, serotype, serovar, sex, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tax_division, tissue_lib, tissue_type, topology, variety, tax_id, scientific_name, altitude, haplotype, plasmid, study_accession, sequence_md5
study;study_accession, secondary_study_accession, study_description, study_name, study_title, tax_id, scientific_name, strain, breed, cultivar, isolate, center_name, broker_name, keywords, geo_accession, last_updated
taxon;tax_id, taxon_title, scientific_name
tsa_set;accession, bio_material, cell_line, cell_type, collected_by, collection_date, country, cultivar, culture_collection, description, dev_stage, ecotype, environmental_sample, first_public, germline, host, identified_by, isolate, isolation_source, keywords, lab_host, last_updated, location, mating_type, mol_type, serotype, serovar, sex, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tax_division, tissue_lib, tissue_type, variety, tax_id, scientific_name, altitude, haplotype, study_accession, set_files
wgs_set;accession, bio_material, cell_line, cell_type, collected_by, collection_date, country, cultivar, culture_collection, description, dev_stage, ecotype, environmental_sample, first_public, germline, host, identified_by, isolate, isolation_source, keywords, lab_host, last_updated, location, mating_type, mol_type, serotype, serovar, sex, submitted_sex, specimen_voucher, strain, sub_species, sub_strain, tax_division, tissue_lib, tissue_type, variety, tax_id, scientific_name, altitude, haplotype, study_accession, set_files
