Result;Description
sequence_release;Nucleotide Sequences (Release)
sequence_update;Nucleotide Sequences (Update)
coding_release;Protein-coding sequences (Release)
coding_update;Protein-coding sequences (Update)
noncoding_release;Non-coding sequences (Release)
noncoding_update;Non-coding sequences (Update)
sample;Samples
study;Studies
analysis;Nucleotide sequence analyses
analysis_study;Nucleotide sequence analyses (grouped by study)
read_run;Raw reads
read_experiment;Raw reads (grouped by experiment)
read_study;Raw reads (grouped by study)
read_trace;Capillary Traces in Trace Archive
