Domain;Result;Filter Column;Type;Description
assembly, coding, contig_set, environmental, noncoding, sample, sequence;assembly, coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;accession;text;accession number
coding;coding_release, coding_update;allele;text;name of the allele for the given gene
coding, contig_set, environmental, sample, sequence;coding_release, coding_update, environmental, sample, sequence_release, sequence_update, tsa_set, wgs_set;altitude;number;Altitude (m)
analysis;analysis;analysis_accession;text;analysis accession number
analysis;analysis;analysis_alias;text;submitter's name for the analysis
analysis;analysis;analysis_title;text;brief sequence analysis description
analysis;analysis;analysis_type;controlled vocabulary;type of sequence analysis
noncoding;noncoding_release, noncoding_update;anticodon;text;location of the anticodon of tRNA and the amino acid for which it codes
coding;coding_release, coding_update;artificial_location;controlled vocabulary;indicates location is modified to adjust for the presence of a frameshift or internal stop codon
assembly;assembly;assembly_level;controlled vocabulary;assembly level
assembly;assembly;assembly_name;text;genome assembly name for all live versions
assembly;assembly;assembly_title;text;brief genome assembly description
coding, noncoding, read, sequence;assembly, coding_release, coding_update, noncoding_release, noncoding_update, read_run, sequence_release, sequence_update;base_count;number;number of base pairs
coding, contig_set, environmental, sample, sequence;coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;bio_material;text;identifier for biological material including institute and collection code
study;study;breed;text;breed
analysis, environmental, read, sample, study;analysis, environmental, read_run, sample, study;broker_name;controlled vocabulary;broker name
coding, contig_set, sample, sequence;coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;cell_line;text;cell line from which the sample was obtained
coding, contig_set, sample, sequence;coding_release, coding_update, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;cell_type;text;cell type from which the sample was obtained
analysis, read;analysis, environmental, read_run, sample, study;center_name;text;Submitting center
environmental, sample;environmental, sample;checklist;controlled vocabulary;checklist name (or ID)
coding;coding_release, coding_update;codon_start;controlled vocabulary;indicates the offset of the first complete codon relative to the first base of the coding feature
coding, contig_set, environmental, noncoding, sample, sequence;coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;collected_by;text;name of the person who collected the specimen
coding, contig_set, environmental, noncoding, sample, sequence;coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;collection_date;date;date that the specimen was collected
coding, contig_set, environmental, noncoding, sample, sequence;coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;country;text;locality of sample isolation: country names, oceans or seas, followed by regions and localities
coding, contig_set, environmental, sample, sequence, study;coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, study, tsa_set, wgs_set;cultivar;text;cultivar (cultivated variety) of plant from which sample was obtained
coding, contig_set, sample, sequence;coding_release, coding_update, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;culture_collection;text;identifier for the sample culture including institute and collection code
coding, noncoding, sequence;coding_release, coding_update, noncoding_release, noncoding_update, sequence_release, sequence_update;dataclass;controlled vocabulary;sequence data class
environmental, sample;environmental, sample;depth;number;Depth (m)
coding, contig_set, environmental, noncoding, sample, sequence;coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;description;text;brief sequence description
coding, contig_set, environmental, noncoding, sample, sequence;coding_release, coding_update, environmental, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;dev_stage;text;sample obtained from an organism in a specific developmental stage
coding;coding_release, coding_update;ec_number;text;Enzyme Commission number for enzyme product of sequence
coding, contig_set, sample, sequence;coding_release, coding_update, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;ecotype;text;a population within a given species displaying traits that reflect adaptation to a local habitat
environmental, sample;environmental, sample;elevation;number;Elevation (m)
environmental, sample;environmental, sample;environment_biome;text;Environment (Biome)
environmental, sample;environmental, sample;environment_feature;text;Environment (Feature)
environmental, sample;environmental, sample;environment_material;text;Environment (Material)
environmental, sample;environmental, sample;environmental_package;controlled vocabulary;MIGS/MIMS/MIMARKS extension for reporting (from environment where the sample was obtained)
coding, contig_set, noncoding, sample, sequence;coding_release, coding_update, noncoding_release, noncoding_update, sample, sequence_release, sequence_update, tsa_set, wgs_set;environmental_sample;boolean;identifies sequences derived by direct molecular isolation from an environmental DNA sample
environmental;environmental;event_label;text;label given to sampling event
coding;coding_release, coding_update;exception;text;indicates that the coding region cannot be translated using standard biological rules
coding, noncoding;coding_release, coding_update, noncoding_release, noncoding_update;experiment;text;a brief description of the nature of the experimental evidence
read;read_experiment, read_run;experiment_accession;text;experiment accession number
read;read_experiment, read_run;experiment_alias;text;submitter's name for the experiment
read;read_experiment, read_run;experiment_title;text;brief experiment title
environmental, sample;environmental, sample;experimental_factor;text;variable aspects of the experimental design
