Marker symbol;Marker description
ACACA;Acetyl-CoA carboxylase
ATP5B;ATP synthase beta-subunit
BETA-ACTIN;Actin, beta
COX1;Cytochrome C oxidase subunit I
CYTB;Cytochrome B
EEF1A;Elongation factor 1-alpha
EEF2K;Eukaryotic elongation factor-2 kinase
MATK;Maturase K
MDH;Malate dehydrogenase
NAD1;NADH dehydrogenase subunit 1 (ndhA)
NAD2;NADH dehydrogenase subunit 2 (ndhB)
NAD3;NADH dehydrogenase subunit 3 (ndhC)
NAD4;NADH dehydrogenase subunit 4 (ndhD)
NAD5;NADH dehydrogenase subunit 5 (ndhF)
PETD;petD cytochrome b6/f complex subunit 4
POLR2B;Polymerase (RNA) II (DNA directed) polypeptide B
RAG1;Recombination activating gene 1
RAG2;Recombination activating gene 2
RBCL;Ribulose bisophosphate carboxylase
RHOD;Rhodopsin
TUBA;Alpha tubulin
TUBB;Tubulin, beta class I
12S;12S rRNA
16S;16S rRNA
18S;18S rRNA
23S;23S rRNA
28S;28S rRNA
